Name,Address,City,State,Zipcode,Neighborhood,Lat,Long
Mr Pizza Man,1934 OCEAN AVE,SAN FRANCISCO,CA,94127,West of Twin Peaks,37.725693,-122.463372
Pizza Pino & Kitchen,1534 CALIFORNIA ST,SAN FRANCISCO,CA,94109, ,37.790677,-122.419902
Brunos Pizza & Restaurant,1375 FILLMORE ST,SAN FRANCISCO,CA,94115,Western Addition,37.782068,-122.432458
Venice Pizza And Restaurant #2,701 RANDOLPH ST,SAN FRANCISCO,CA,94132,Oceanview/Merced/Ingleside,37.714253,-122.46906
Parkway Pizza,4 EMBARCADERO CENTER,SAN FRANCISCO,CA,94111, ,37.795106,-122.396158
Rosanero Pizza,5 EMBARCADERO CTR,SAN FRANCISCO,CA,94133, ,37.795106,-122.396158
Mythic Pizza Inc,551 HAIGHT ST,SAN FRANCISCO,CA,94117,Hayes Valley,37.771994,-122.431359
Pizzeria Avellino,2769 LOMBARD ST,SAN FRANCISCO,CA,94123,Marina,37.798496,-122.44709
Nizarios Pizza #4,555 BROADWAY,SAN FRANCISCO,CA,94133,Chinatown,37.79792,-122.406245
Gino's Pizza,421 BEACH ST,SAN FRANCISCO,CA,94133,North Beach,37.807249,-122.415954
Twin Peaks Pizza,1681 CHURCH ST,SAN FRANCISCO,CA,94131,Noe Valley,37.743953,-122.426686
Milano Pizzeria,1330 9TH AVE,SAN FRANCISCO,CA,94122,Inner Sunset,37.7634,-122.466267
Bruno Pizzeria,1330 9TH AVE,SAN FRANCISCO,CA,94122,Inner Sunset,37.7634,-122.466267
Pizzeria De Bruno,1330 9TH AVE,SAN FRANCISCO,CA,94122,Inner Sunset,37.7634,-122.466267
Pranzo Pizza,32 6TH ST,SAN FRANCISCO,CA,94103,South of Market,37.781714,-122.409646
Pizza Di Mano,3331 24TH ST,SAN FRANCISCO,CA,94110,Mission,37.7522,-122.419225
Volare Pizza,456 HAIGHT ST,SAN FRANCISCO,CA,94117,Hayes Valley,37.772197,-122.42975
Good Pizza,112 7TH ST,SAN FRANCISCO,CA,94103, ,37.77902,-122.410723
Pizza Hacker,244 CAPP ST,SAN FRANCISCO,CA,94110,Mission,37.762624,-122.418339
Pizzeria Sophia,1934 OCEAN AVE,SAN FRANCISCO,CA,94127,West of Twin Peaks,37.725693,-122.463372
Balboa Pizza,2051 BALBOA ST,SAN FRANCISCO,CA,94121,Outer Richmond,37.776462,-122.480731
Taraval Pizza,1115 TARAVAL ST,SAN FRANCISCO,CA,94116,Sunset/Parkside,37.742943,-122.478212
Pick Me Up Pizza Kitchen,680 POST ST,SAN FRANCISCO,CA,94109,Nob Hill,37.787689,-122.413067
Mr Pizza Geary,3409 GEARY BLVD,SAN FRANCISCO,CA,94118,Lone Mountain/USF,37.781365,-122.455552
Rotana Pizza,705 GEARY ST,SAN FRANCISCO,CA,94109,Tenderloin,37.786514,-122.414874
Royalty Pizza Cafe,829 GEARY ST,SAN FRANCISCO,CA,94109,Tenderloin,37.786243,-122.417022
Irving Pizza,928 GEARY ST,SAN FRANCISCO,CA,94109,Tenderloin,37.786036,-122.418647
Ayadi Pizza,377 BAY ST,SAN FRANCISCO,CA,94133,North Beach,37.805671,-122.41317
Mama Mia Pizzeria,1125 OCEAN AVE,SAN FRANCISCO,CA,94112,Oceanview/Merced/Ingleside,37.723562,-122.454662
Bayview Burgers & Pizza,5155 3RD ST,SAN FRANCISCO,CA,94124,Bayview Hunters Point,37.731353,-122.391824
La Perla Pizza,39 TAYLOR ST,SAN FRANCISCO,CA,94102,Tenderloin,37.782736,-122.410682
Giovanni's Pizza Bistro,3839 MISSION ST,SAN FRANCISCO,CA,94110,Bernal Heights,37.735519,-122.424651
Supremo Pizza,491 OFARRELL ST,SAN FRANCISCO,CA,94102,Tenderloin,37.785817,-122.412857
